date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:02	6934/6934	---M-Z	200	added ('OK')	text/html	etag:%221b16-5b370c7155053-gzip%22	http://www.dr-erdogan.de/Zahnaufhellung.html	./dr-erdogan-copy/www.dr-erdogan.de/Zahnaufhellung.html	(from http://www.dr-erdogan.de/index.html)
10:30:03	6622/6622	---M-Z	200	added ('OK')	text/html	etag:%2219de-5b370c6eda424-gzip%22	http://www.dr-erdogan.de/Digital.html	./dr-erdogan-copy/www.dr-erdogan.de/Digital.html	(from http://www.dr-erdogan.de/index.html)
10:30:03	8405/8405	---M-Z	200	added ('OK')	text/html	etag:%2220d5-5b370c9c4cf2f-gzip%22	http://www.dr-erdogan.de/Aestetic.html	./dr-erdogan-copy/www.dr-erdogan.de/Aestetic.html	(from http://www.dr-erdogan.de/index.html)
10:30:03	9488/9488	---M-Z	200	added ('OK')	text/html	etag:%222510-5b370c9193d98-gzip%22	http://www.dr-erdogan.de/Corona.html	./dr-erdogan-copy/www.dr-erdogan.de/Corona.html	(from http://www.dr-erdogan.de/index.html)
10:30:04	8711/8711	---M-Z	200	added ('OK')	text/html	etag:%222207-5b370c91545fa-gzip%22	http://www.dr-erdogan.de/Impressum.html	./dr-erdogan-copy/www.dr-erdogan.de/Impressum.html	(from http://www.dr-erdogan.de/index.html)
10:30:04	22233/22233	---M-Z	200	added ('OK')	text/html	etag:%2256d9-5b370c7dad27f-gzip%22	http://www.dr-erdogan.de/Datenschutz.html	./dr-erdogan-copy/www.dr-erdogan.de/Datenschutz.html	(from http://www.dr-erdogan.de/index.html)
10:30:04	6941/6941	---M-Z	200	added ('OK')	application/javascript	etag:%221b1d-5b370c77fc226-gzip%22	http://www.dr-erdogan.de/scripts/imagesloaded.pkgd.min.js	./dr-erdogan-copy/www.dr-erdogan.de/scripts/imagesloaded.pkgd.min.js	(from http://www.dr-erdogan.de/index.html)
10:30:04	36922/36922	---M--	200	added ('OK')	image/png	etag:%22903a-5b370c9afff18%22	http://www.dr-erdogan.de/images/facebook-icon-240x240.png	./dr-erdogan-copy/www.dr-erdogan.de/images/facebook-icon-240x240.png	(from http://www.dr-erdogan.de/index.html)
10:30:04	18358/18358	---M-Z	200	added ('OK')	application/javascript	etag:%2247b6-5b370c7804ec6-gzip%22	http://www.dr-erdogan.de/scripts/hammer.min.js	./dr-erdogan-copy/www.dr-erdogan.de/scripts/hammer.min.js	(from http://www.dr-erdogan.de/index.html)
10:30:05	48178/48178	---M-Z	200	added ('OK')	application/javascript	etag:%22bc32-5b370c7842724-gzip%22	http://www.dr-erdogan.de/scripts/sequence.min.js	./dr-erdogan-copy/www.dr-erdogan.de/scripts/sequence.min.js	(from http://www.dr-erdogan.de/index.html)
10:30:05	1051/1051	---M-Z	200	added ('OK')	application/javascript	etag:%2241b-5b370c77f4526-gzip%22	http://www.dr-erdogan.de/scripts/sequence-theme.modern-slide-in.js	./dr-erdogan-copy/www.dr-erdogan.de/scripts/sequence-theme.modern-slide-in.js	(from http://www.dr-erdogan.de/index.html)
10:30:05	342505/342505	---M--	200	added ('OK')	image/jpeg	etag:%22539e9-5b370c80a7d8b%22	http://www.dr-erdogan.de/img/e1699.jpg	./dr-erdogan-copy/www.dr-erdogan.de/img/e1699.jpg	(from http://www.dr-erdogan.de/index.html)
10:30:05	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:05%20GMT	http://www.dr-erdogan.de/styles/images/pfeil.gif	./dr-erdogan-copy/www.dr-erdogan.de/styles/images/pfeil.gif	(from http://www.dr-erdogan.de/styles/styles.css)
10:30:05	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:05%20GMT	http://www.dr-erdogan.de/images/mail-button.png	./dr-erdogan-copy/www.dr-erdogan.de/images/mail-button.png	(from http://www.dr-erdogan.de/styles/styles.css)
10:30:06	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:06%20GMT	http://www.dr-erdogan.de/images/bg-sequence.jpg	./dr-erdogan-copy/www.dr-erdogan.de/images/bg-sequence.jpg	(from http://www.dr-erdogan.de/styles/sequence-theme.modern-slide-in.css)
10:30:06	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:06%20GMT	http://www.dr-erdogan.de/images/bt-next.png	./dr-erdogan-copy/www.dr-erdogan.de/images/bt-next.png	(from http://www.dr-erdogan.de/styles/sequence-theme.modern-slide-in.css)
10:30:06	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:06%20GMT	http://www.dr-erdogan.de/images/bt-prev.png	./dr-erdogan-copy/www.dr-erdogan.de/images/bt-prev.png	(from http://www.dr-erdogan.de/styles/sequence-theme.modern-slide-in.css)
10:30:06	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:06%20GMT	http://www.dr-erdogan.de/images/bt-next@2x.png	./dr-erdogan-copy/www.dr-erdogan.de/images/bt-next@2x.png	(from http://www.dr-erdogan.de/styles/sequence-theme.modern-slide-in.css)
10:30:06	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:07%20GMT	http://www.dr-erdogan.de/images/bt-prev@2x.png	./dr-erdogan-copy/www.dr-erdogan.de/images/bt-prev@2x.png	(from http://www.dr-erdogan.de/styles/sequence-theme.modern-slide-in.css)
10:30:07	280/280	---M--	200	added ('OK')	image/png	etag:%22118-5b370c7ff0410%22	http://www.dr-erdogan.de/img/close.png	./dr-erdogan-copy/www.dr-erdogan.de/img/close.png	(from http://www.dr-erdogan.de/styles/lightbox.css)
10:30:07	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:07%20GMT	http://www.dr-erdogan.de/img/loading.gif	./dr-erdogan-copy/www.dr-erdogan.de/img/loading.gif	(from http://www.dr-erdogan.de/styles/lightbox.css)
10:30:07	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:07%20GMT	http://www.dr-erdogan.de/img/prev.png	./dr-erdogan-copy/www.dr-erdogan.de/img/prev.png	(from http://www.dr-erdogan.de/styles/lightbox.css)
10:30:07	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:08%20GMT	http://www.dr-erdogan.de/img/next.png	./dr-erdogan-copy/www.dr-erdogan.de/img/next.png	(from http://www.dr-erdogan.de/styles/lightbox.css)
10:30:11	91047/91047	---M--	200	added ('OK')	image/png	etag:%22163a7-5b370c90c0e9e%22	http://www.dr-erdogan.de/img/grafic.png	./dr-erdogan-copy/www.dr-erdogan.de/img/grafic.png	(from http://www.dr-erdogan.de/Kontakt.html)
10:30:44	898589/898589	---M--	200	added ('OK')	image/jpeg	etag:%22db61d-5f1c712434e53%22	http://www.dr-erdogan.de/img/Team.jpg	./dr-erdogan-copy/www.dr-erdogan.de/img/Team.jpg	(from http://www.dr-erdogan.de/Team.html)
10:31:06	522115/522115	---M--	200	added ('OK')	image/jpeg	etag:%227f783-5b370c92a25b1%22	http://www.dr-erdogan.de/images/E_micro.jpg	./dr-erdogan-copy/www.dr-erdogan.de/images/E_micro.jpg	(from http://www.dr-erdogan.de/Mikrochirurgie.html)
10:31:06	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:31:06%20GMT	http://www.dr-erdogan.de/Impressium.html	./dr-erdogan-copy/www.dr-erdogan.de/Impressium.html	(from http://www.dr-erdogan.de/Zahnaufhellung.html)
10:31:06	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:31:06%20GMT	http://www.dr-erdogan.de/IMPRESSUM.html	./dr-erdogan-copy/www.dr-erdogan.de/IMPRESSUM-2.html	(from http://www.dr-erdogan.de/Aestetic.html)
10:31:07	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:31:07%20GMT	http://www.dr-erdogan.de/DATENSCHUTZ.html	./dr-erdogan-copy/www.dr-erdogan.de/DATENSCHUTZ-2.html	(from http://www.dr-erdogan.de/Aestetic.html)
10:31:43	2343051/2343051	---M--	200	added ('OK')	image/jpeg	etag:%2223c08b-5b370c859e589%22	http://www.dr-erdogan.de/img/Erdogan.jpg	./dr-erdogan-copy/www.dr-erdogan.de/img/Erdogan.jpg	(from http://www.dr-erdogan.de/Ueberuns.html)
10:31:53	1231202/1231202	---M--	200	added ('OK')	image/jpeg	etag:%2212c962-5f1c67a6c04ed%22	http://www.dr-erdogan.de/img/erdo2kl.jpg	./dr-erdogan-copy/www.dr-erdogan.de/img/erdo2kl.jpg	(from http://www.dr-erdogan.de/Impressum.html)
10:31:57	3050201/3050201	---M--	200	added ('OK')	image/jpeg	etag:%222e8ad9-5b370c8ab0307%22	http://www.dr-erdogan.de/img/Erdo1kl.jpg	./dr-erdogan-copy/www.dr-erdogan.de/img/Erdo1kl.jpg	(from http://www.dr-erdogan.de/Kontakt.html)
10:32:38	6851756/6851756	---M--	200	added ('OK')	image/jpeg	etag:%22688cac-5b370ca28d865%22	http://www.dr-erdogan.de/img/olga.jpg	./dr-erdogan-copy/www.dr-erdogan.de/img/olga.jpg	(from http://www.dr-erdogan.de/Ueberuns.html)
